Frame,Frametime,glfwPollEvents,InputUpdate,PlayerUpdate,WorldUpdate,Raycasting,CsvStuff,Draw UI,Update,ImGuiRender,WorldDrawChunks,DrawChunks,OpenGLRender,ChunkBuildMesh
3274,8362,584,589,2,0,0,8,6,601,540,69,71,83,
3275,8490,110,116,2,0,0,6,9,126,46,85,87,103,
3276,9052,15,22,2,0,0,7,12,34,58,88,91,110,
3277,7431,12,16,1,0,0,6,7,25,42,71,73,86,
3278,8249,13,18,1,0,0,5,9,27,43,70,73,88,
3279,8277,14,20,1,0,0,6,7,29,51,70,72,86,
3280,8909,13,18,1,0,0,7,7,29,43,70,72,86,
3281,7795,15,20,1,0,0,7,11,31,45,67,69,86,
3282,8406,26,34,2,0,0,8,9,47,44,95,97,115,
3283,8196,14,20,1,0,0,6,10,29,42,69,72,89,
3284,9021,13,18,1,0,0,6,11,28,45,77,79,97,
3285,7641,19,25,2,0,0,8,8,38,43,69,70,84,
3286,8382,12,17,1,0,0,6,9,26,49,77,79,95,
3287,8321,15,20,1,0,0,8,11,32,41,71,73,90,
3288,8805,14,18,1,0,0,6,10,28,42,75,78,93,
3289,8161,17,23,1,0,0,7,11,36,49,77,80,97,
3290,8314,117,138,2,0,0,8,11,151,66,79,82,100,
3291,8191,15,20,1,0,0,6,9,30,44,77,79,95,
3292,8815,15,20,1,0,0,7,8,31,48,159,162,178,
3293,8021,14,19,1,0,0,6,7,29,43,71,73,86,
3294,8134,22,30,1,0,0,6,11,40,45,82,84,102,
3295,8199,13,17,1,0,0,7,11,28,39,70,72,89,
3296,8938,15,22,1,0,0,6,10,31,40,71,74,90,
3297,7762,14,18,1,0,0,6,10,28,50,69,71,89,
3298,8403,14,19,2,0,0,7,9,29,50,72,75,90,
3299,8469,15,21,1,0,0,6,8,30,40,73,75,88,
3300,9184,17,24,2,0,1,11,14,44,43,73,75,96,
3301,7495,27,33,2,0,0,9,11,47,49,92,95,116,
3302,8203,17,22,2,0,0,7,9,33,56,86,89,104,
3303,8234,13,18,1,0,0,6,10,27,40,68,70,86,
3304,9206,13,18,1,0,0,7,7,29,42,69,71,84,
3305,7416,13,19,1,0,0,12,9,34,50,70,74,90,
3306,8506,12,17,1,0,0,6,9,26,41,69,71,85,
3307,8389,15,21,1,0,0,7,10,31,43,76,78,95,
3308,8707,13,17,1,0,0,5,9,26,45,83,86,100,
3309,7784,15,20,1,0,0,6,9,30,48,70,73,88,
3310,8307,15,19,1,0,0,6,10,29,49,69,71,87,
3311,8610,13,18,1,0,0,6,7,28,45,72,74,87,
3312,8628,17,22,1,0,0,8,12,35,44,113,116,135,
3313,7766,15,21,1,0,0,8,13,33,44,76,79,98,
3314,8506,15,21,2,0,0,7,9,32,41,70,72,87,
3315,8270,14,19,2,0,0,6,11,30,45,92,94,112,
3316,8902,13,17,1,0,0,6,9,26,47,67,70,83,
3317,7672,15,20,1,0,0,6,7,30,44,68,70,83,
3318,8496,15,21,1,0,0,9,11,34,55,71,74,93,
3319,8406,16,21,1,0,0,6,8,31,43,87,89,102,
3320,8995,14,18,1,0,0,6,10,28,49,69,71,87,
3321,7454,13,18,1,0,0,6,7,28,45,75,77,91,
3322,8307,16,21,1,0,0,8,7,33,47,67,69,82,
3323,8592,13,18,1,0,0,6,10,27,45,72,74,90,
3324,8692,14,19,1,0,0,7,8,30,62,73,76,90,
3325,7983,14,35,2,0,0,8,9,52,46,71,73,90,
3326,8124,14,18,1,0,0,6,8,28,41,68,70,83,
3327,8282,12,18,1,0,0,6,12,27,61,94,97,116,
3328,8970,13,18,1,0,0,6,10,28,46,70,73,89,
3329,7659,17,24,1,0,0,8,8,36,45,70,73,88,
3330,8555,14,20,1,0,0,6,9,29,57,93,95,111,
3331,8323,16,22,1,0,0,6,10,32,51,74,77,93,
3332,8744,48,56,1,0,0,8,13,68,51,74,75,95,
3333,7766,14,18,1,0,0,6,7,28,42,70,72,85,
3334,8415,13,18,1,0,0,5,10,27,43,67,69,84,
3335,8442,14,19,2,0,0,6,10,29,44,75,77,93,
3336,8729,146,152,3,0,0,17,10,702,47,86,88,106,
3337,8032,103,105,2,0,0,6,10,116,40,74,76,92,
3338,8109,13,15,2,0,0,5,9,23,43,70,72,86,
3339,8369,16,18,2,0,0,7,11,30,56,84,87,108,
3340,8707,12,15,2,0,0,5,7,24,43,68,70,82,
3341,7775,15,18,2,0,0,7,8,29,46,71,73,86,
